# time, kinetic_energy, enstrophy, ke_dissipation
0.0000000000e+00,1.2500000000e-01,3.7469890033e-01,4.3651658348e-04
2.0000000000e-01,1.2491269668e-01,3.7592899254e-01,4.4384830795e-04
4.0000000000e-01,1.2482246068e-01,3.8024677719e-01,5.1665894471e-04
6.0000000000e-01,1.2470603311e-01,3.8784589637e-01,6.2792989237e-04
8.0000000000e-01,1.2457128872e-01,3.9902794130e-01,6.2921386769e-04
1.0000000000e+00,1.2445434756e-01,4.1414202449e-01,4.9688993617e-04
1.2000000000e+00,1.2437253275e-01,4.3357052937e-01,3.8289791625e-04
1.4000000000e+00,1.2430118839e-01,4.5773451455e-01,4.2372232824e-04
1.6000000000e+00,1.2420304381e-01,4.8706721073e-01,5.8025233724e-04
1.8000000000e+00,1.2406908746e-01,5.2206133438e-01,7.0219640751e-04
2.0000000000e+00,1.2392216525e-01,5.6320832599e-01,7.3268901492e-04
2.2000000000e+00,1.2377601185e-01,6.1099239752e-01,7.7775797273e-04
2.4000000000e+00,1.2361106206e-01,6.6586733590e-01,9.3010407345e-04
2.6000000000e+00,1.2340397022e-01,7.2827653913e-01,1.1232713255e-03
2.8000000000e+00,1.2316175353e-01,7.9881515504e-01,1.2272953966e-03
3.0000000000e+00,1.2291305206e-01,8.7837077017e-01,1.2392360318e-03
3.2000000000e+00,1.2266605912e-01,9.6832033027e-01,1.3271553727e-03
3.4000000000e+00,1.2238218991e-01,1.0705647508e+00,1.6456490711e-03
3.6000000000e+00,1.2200779949e-01,1.1870286998e+00,2.1667356040e-03
3.8000000000e+00,1.2151549567e-01,1.3187056683e+00,2.7784999909e-03
4.0000000000e+00,1.2089639949e-01,1.4648436161e+00,3.4831060154e-03
4.2000000000e+00,1.2012225327e-01,1.6240646124e+00,4.3063235361e-03
4.4000000000e+00,1.1917387008e-01,1.7932886565e+00,5.1876821979e-03
4.6000000000e+00,1.1804718039e-01,1.9707301195e+00,6.0628420486e-03
4.8000000000e+00,1.1674873326e-01,2.1413134489e+00,6.7560984465e-03
5.0000000000e+00,1.1534474101e-01,2.2903440244e+00,7.0758623520e-03
5.2000000000e+00,1.1391838832e-01,2.4226329854e+00,7.1927222085e-03
5.4000000000e+00,1.1246765213e-01,2.5447108137e+00,7.3928689784e-03
5.6000000000e+00,1.1096124073e-01,2.6612920581e+00,7.7295601394e-03
5.8000000000e+00,1.0937582807e-01,2.7700081599e+00,8.1434952350e-03
6.0000000000e+00,1.0770384263e-01,2.8675870796e+00,8.5356992077e-03
6.2000000000e+00,1.0596154839e-01,2.9515902520e+00,8.9494499405e-03
6.4000000000e+00,1.0412406266e-01,3.0226382627e+00,9.4709362021e-03
6.6000000000e+00,1.0217317391e-01,3.0824090409e+00,9.9117138348e-03
6.8000000000e+00,1.0015937712e-01,3.1381659073e+00,1.0184089659e-02
7.0000000000e+00,9.8099538042e-02,3.1844100402e+00,1.0488929431e-02
7.2000000000e+00,9.5963805352e-02,3.2033310439e+00,1.0876247937e-02
7.4000000000e+00,9.3749038867e-02,3.2104160785e+00,1.1224162171e-02
7.6000000000e+00,9.1474140484e-02,3.2469705193e+00,1.1383931685e-02
7.8000000000e+00,8.9195466193e-02,3.3315083632e+00,1.1538381631e-02
8.0000000000e+00,8.6858787831e-02,3.4090646086e+00,1.2004288433e-02
8.2000000000e+00,8.4393750820e-02,3.3993213689e+00,1.2432036936e-02
8.4000000000e+00,8.1885973057e-02,3.3306615443e+00,1.2471732872e-02
8.6000000000e+00,7.9405057671e-02,3.2481811314e+00,1.2256442455e-02
8.8000000000e+00,7.6983396075e-02,3.1671112579e+00,1.1981496209e-02
9.0000000000e+00,7.4612459187e-02,3.0859196964e+00,1.1663264806e-02
9.2000000000e+00,7.2318090152e-02,3.0205666184e+00,1.1272466776e-02
9.4000000000e+00,7.0103472477e-02,2.9739124779e+00,1.0964966373e-02
9.6000000000e+00,6.7932103603e-02,2.9366715379e+00,1.0762920561e-02
9.8000000000e+00,6.5798304252e-02,2.8998478148e+00,1.0543325619e-02
1.0000000000e+01,6.3714773355e-02,2.8544314857e+00,1.0244669622e-02
1.0200000000e+01,6.1700436404e-02,2.7956710350e+00,9.9313180084e-03
1.0400000000e+01,5.9742246152e-02,2.7228515597e+00,9.7278194537e-03
1.0600000000e+01,5.7809308622e-02,2.6315801381e+00,9.5551733496e-03
1.0800000000e+01,5.5920176812e-02,2.5195704336e+00,9.2179593395e-03
1.1000000000e+01,5.4122124886e-02,2.3969467957e+00,8.7011454177e-03
1.1200000000e+01,5.2439718645e-02,2.2754614107e+00,8.1373770891e-03
1.1400000000e+01,5.0867174051e-02,2.1644661317e+00,7.6432023611e-03
1.1600000000e+01,4.9382437701e-02,2.0645538720e+00,7.2367668513e-03
1.1800000000e+01,4.7972467310e-02,1.9728291680e+00,6.8433770226e-03
1.2000000000e+01,4.6645086891e-02,1.8854900076e+00,6.4093900125e-03
1.2200000000e+01,4.5408711305e-02,1.8015198046e+00,5.9790129217e-03
1.2400000000e+01,4.4253481723e-02,1.7225696393e+00,5.6303712990e-03
1.2600000000e+01,4.3156562786e-02,1.6497775096e+00,5.3361136083e-03
1.2800000000e+01,4.2119036280e-02,1.5851037487e+00,5.0288264889e-03
1.3000000000e+01,4.1145032190e-02,1.5297726801e+00,4.7186430631e-03
1.3200000000e+01,4.0231579054e-02,1.4825709598e+00,4.4611518858e-03
1.3400000000e+01,3.9360571436e-02,1.4415793417e+00,4.3015024983e-03
1.3600000000e+01,3.8510978055e-02,1.4047000306e+00,4.2062247646e-03
1.3800000000e+01,3.7678081530e-02,1.3715760742e+00,4.1085039941e-03
1.4000000000e+01,3.6867576457e-02,1.3418323898e+00,3.9990622039e-03
1.4200000000e+01,3.6078456648e-02,1.3141413219e+00,3.9163773165e-03
1.4400000000e+01,3.5301025531e-02,1.2872135764e+00,3.8834605381e-03
1.4600000000e+01,3.4525072433e-02,1.2595629622e+00,3.8678951051e-03
1.4800000000e+01,3.3753867489e-02,1.2304728428e+00,3.8061824179e-03
1.5000000000e+01,3.3002599466e-02,1.2004853228e+00,3.6901057598e-03
1.5200000000e+01,3.2277825185e-02,1.1696608139e+00,3.5693369837e-03
1.5400000000e+01,3.1574864672e-02,1.1393372208e+00,3.4838778444e-03
1.5600000000e+01,3.0884274047e-02,1.1101016971e+00,3.4082652758e-03
1.5800000000e+01,3.0211558562e-02,1.0821798812e+00,3.2891593538e-03
1.6000000000e+01,2.9568610305e-02,1.0554847596e+00,3.1375950176e-03
1.6200000000e+01,2.8956520555e-02,1.0292540713e+00,3.0053597743e-03
1.6400000000e+01,2.8366466396e-02,1.0027024812e+00,2.9233506265e-03
1.6600000000e+01,2.7787180304e-02,9.7557592437e-01,2.8635579205e-03
