# time, kinetic_energy, enstrophy, ke_dissipation
0.0000000000e+00,1.2500000000e-01,3.7469890033e-01,3.2690811743e-04
2.0000000000e-01,1.2493461838e-01,3.7608723956e-01,3.5878770498e-04
4.0000000000e-01,1.2485648492e-01,3.8060806809e-01,4.0619490200e-04
6.0000000000e-01,1.2477214042e-01,3.8840214733e-01,4.3041831298e-04
8.0000000000e-01,1.2468431759e-01,3.9972434929e-01,4.4999234003e-04
1.0000000000e+00,1.2459214348e-01,4.1489486874e-01,4.7406350327e-04
1.2000000000e+00,1.2449469219e-01,4.3430508596e-01,5.0347772538e-04
1.4000000000e+00,1.2439075239e-01,4.5840465092e-01,5.3931537905e-04
1.6000000000e+00,1.2427896604e-01,4.8768909147e-01,5.8227263010e-04
1.8000000000e+00,1.2415784334e-01,5.2268130932e-01,6.3296764788e-04
2.0000000000e+00,1.2402577898e-01,5.6390468932e-01,6.9193957364e-04
2.2000000000e+00,1.2388106751e-01,6.1185221748e-01,7.5966897138e-04
2.4000000000e+00,1.2372191139e-01,6.6697122085e-01,8.3663002307e-04
2.6000000000e+00,1.2354641550e-01,7.2969521338e-01,9.2339563942e-04
2.8000000000e+00,1.2335255314e-01,8.0056174546e-01,1.0209136096e-03
3.0000000000e+00,1.2313805005e-01,8.8042753715e-01,1.1312365410e-03
3.2000000000e+00,1.2290005852e-01,9.7077261560e-01,1.2591844731e-03
3.4000000000e+00,1.2263437627e-01,1.0740702260e+00,1.4155600946e-03
3.6000000000e+00,1.2233383448e-01,1.1941156413e+00,1.6235535059e-03
3.8000000000e+00,1.2198495486e-01,1.3356886186e+00,1.9293580157e-03
4.0000000000e+00,1.2156209128e-01,1.5040936902e+00,2.3653431843e-03
4.2000000000e+00,1.2103881759e-01,1.7026009565e+00,2.9061976223e-03
4.4000000000e+00,1.2039961223e-01,1.9229795607e+00,3.5458733754e-03
4.6000000000e+00,1.1962046824e-01,2.1416159315e+00,4.2347969622e-03
4.8000000000e+00,1.1870569344e-01,2.3437637515e+00,4.8392307456e-03
5.0000000000e+00,1.1768477594e-01,2.5254837071e+00,5.2823480178e-03
5.2000000000e+00,1.1659275423e-01,2.6878744330e+00,5.5399045620e-03
5.4000000000e+00,1.1546881412e-01,2.8464334192e+00,5.7134236671e-03
5.6000000000e+00,1.1430738477e-01,3.0047749964e+00,5.9552612487e-03
5.8000000000e+00,1.1308670962e-01,3.1621146785e+00,6.2983639002e-03
6.0000000000e+00,1.1178803921e-01,3.3050323094e+00,6.7377198858e-03
6.2000000000e+00,1.1039162166e-01,3.4266394160e+00,7.2297967674e-03
6.4000000000e+00,1.0889612050e-01,3.5334847530e+00,7.6467150682e-03
6.6000000000e+00,1.0733293564e-01,3.6353798524e+00,7.9126417659e-03
6.8000000000e+00,1.0573106379e-01,3.7309462458e+00,8.1388216564e-03
7.0000000000e+00,1.0407740697e-01,3.8276223929e+00,8.5231749120e-03
7.2000000000e+00,1.0232179383e-01,3.9372188784e+00,9.0472176891e-03
7.4000000000e+00,1.0045851990e-01,4.0915357875e+00,9.5411499440e-03
7.6000000000e+00,9.8505333852e-02,4.2951382812e+00,1.0077538821e-02
7.8000000000e+00,9.6427504369e-02,4.4829436416e+00,1.0821553685e-02
8.0000000000e+00,9.4176712378e-02,4.5944501514e+00,1.1685640816e-02
8.2000000000e+00,9.1753248042e-02,4.5965268391e+00,1.2300454167e-02
8.4000000000e+00,8.9256530711e-02,4.5242810055e+00,1.2534054237e-02
8.6000000000e+00,8.6739626347e-02,4.3996833502e+00,1.2361722650e-02
8.8000000000e+00,8.4311841652e-02,4.3079404392e+00,1.1881699282e-02
9.0000000000e+00,8.1986946634e-02,4.2860795098e+00,1.1477726578e-02
9.2000000000e+00,7.9720751021e-02,4.2938603367e+00,1.1300666487e-02
9.4000000000e+00,7.7466680040e-02,4.2963425373e+00,1.1217136983e-02
